Year,Month,Day,Hour,Minute,Second,KUM_META.rmm,KUM_META.wdir,KUM_META.pwd_rmm,KUM_META.t,KUM_META.rh,KUM_META.pwd_visibility_1,KUM_META.ws
2023,10,05,01,00,00,0,274.5,0,8.85333,92.48333,20000,3.135
2023,10,05,02,00,00,0.00067,267.81667,0,8.48,91.88333,20000,3.20333
2023,10,05,03,00,00,0.00067,262.01667,0,8.63667,91.96667,20000,2.84667
2023,10,05,04,00,00,0.00067,263.13333,0,8.63833,89.91667,20000,2.72667
2023,10,05,05,00,00,0.00067,259.36667,0,8.95,85.83333,20000,2.57667
2023,10,05,06,00,00,0.00067,274.03333,0,8.57667,87.63333,20000,2.68833
2023,10,05,07,00,00,0.00067,283.5,0,8.34167,89.45,20000,2.88
2023,10,05,08,00,00,0,279.3,0,9.02833,87.73333,20000,2.21
2023,10,05,09,00,00,0,282.66667,0,10.05,81.93333,20000,2.4
2023,10,05,10,00,00,0,296.96667,0,10.66833,77.68333,20000,2.01833
2023,10,05,11,00,00,0,304.88333,0,10.97833,74.26667,20000,1.39167
2023,10,05,12,00,00,0,287.03333,0,11.59333,69.7,20000,1.14333
2023,10,05,13,00,00,0,278.31667,0,11.545,70.13333,20000,1.825
2023,10,05,14,00,00,0,260.48333,0,11.64833,71.8,20000,1.92833
2023,10,05,15,00,00,0,203.43333,0,11.33333,68.46667,20000,2.89667
2023,10,05,16,00,00,0,255.43333,0,10.72167,73.2,20000,4.00333
2023,10,05,17,00,00,0,224.7,0.00017,9.56667,73.95,20000,5.05
2023,10,05,18,00,00,0,268.41667,0,8.41833,71.05,20000,5.48167
2023,10,05,19,00,00,0,299.16667,0,7.52667,68.41667,20000,4.685
2023,10,05,20,00,00,0,274.1,0,6.61667,64.78333,20000,4.415
2023,10,05,21,00,00,0,325.28333,0,5.65167,66,20000,4.54
2023,10,05,22,00,00,0,319.9,0,5.08,67.31667,20000,4.41667
2023,10,05,23,00,00,0,315.58333,0,4.42333,72.95,20000,3.99
2023,10,06,00,00,00,0,316.11667,0,3.78,79.21667,20000,3.87667
2023,10,06,01,00,00,0,308.53333,0,3.315,82,20000,3.91
2023,10,06,02,00,00,0,311.25,0,3.06167,81.61667,20000,3.92667
2023,10,06,03,00,00,0.00067,299.9,0,2.79167,81.28333,20000,3.36333
2023,10,06,04,00,00,0.00067,290.18333,0,2.26167,83.53333,20000,3.425
2023,10,06,05,00,00,0.00067,291.2,0,1.98,85.06667,20000,3.53833
2023,10,06,06,00,00,0.00067,286.41667,0,2.01667,84.8,20000,3.29833
2023,10,06,07,00,00,0,283.23333,0,2.335,82.08333,20000,3.44667
2023,10,06,08,00,00,0,281.61667,0,4.18333,74.4,20000,2.805
2023,10,06,09,00,00,0,271.4,0,6.43333,68.86667,20000,2.20167
2023,10,06,10,00,00,0,258.15,0,8.31333,61.4,20000,2.70333
2023,10,06,11,00,00,0,254.2,0,9.68167,53.48333,20000,3.00833
2023,10,06,12,00,00,0,241.73333,0,10.25667,49.31667,20000,3.315
2023,10,06,13,00,00,0,229.53333,0,10.51,50.05,20000,3.53333
2023,10,06,14,00,00,0,227.13333,0,10.37667,56.25,20000,3.49167
2023,10,06,15,00,00,0,224.13333,0,10.50167,57.58333,20000,3.455
2023,10,06,16,00,00,0,208.25,0,10.53167,62.05,20000,4.29167
2023,10,06,17,00,00,0,186.36667,0,10.54333,57.58333,20000,5.48167
2023,10,06,18,00,00,0,173.31667,0,10.39333,59.48333,20000,6.385
